중과실 구분,new
과속,"도로교통법 제 17조 1항 - 자동차등과 노면전차의 도로 통행 속도는 행정안전부령으로 정한다
도로교통법 제 17조 2항 - 경찰청장이나 지방경찰청장은 도로에서 일어나는 위험을 방지하고 교통의 안전과 원활한 소통을 확보하기 위하여 필요하다고 인정하는 경우에는 다음 각 호의 구분에 따라 구역이나 구간을 지정하여 제1항에 따라 정한 속도를 제한할 수 있다."
무면허운전,"건설기계관리법 제26조 - ① 건설기계를 조종하려는 사람은 시장ㆍ군수 또는 구청장에게 건설기계조종사면허를 받아야 한다. 다만,?국토교통부령으로 정하는 건설기계를 조종하려는 사람은?「도로교통법」?제80조에 따른 운전면허를 받아야 한다. ?<개정 2012. 2. 22., 2013. 3. 23.>② 제1항 본문에 따른 건설기계조종사면허는?국토교통부령으로 정하는 바에 따라 건설기계의 종류별로 받아야 한다. ?<개정 2015. 8. 11.>③ 제1항 본문에 따른 건설기계조종사면허를 받으려는 사람은?「국가기술자격법」에 따른 해당 분야의 기술자격을 취득하고 적성검사에 합격하여야 한다.④?국토교통부령으로 정하는 소형 건설기계의 건설기계조종사면허의 경우에는 시ㆍ도지사가 지정한 교육기관에서 실시하는 소형 건설기계의 조종에 관한 교육과정의 이수로 제3항의?「국가기술자격법」에 따른 기술자격의 취득을 대신할 수 있다. ?<개정 2015. 8. 11.>⑤ 건설기계조종사면허증의 발급, 적성검사의 기준, 그 밖에 건설기계조종사면허에 필요한 사항은?국토교통부령으로 정한다. ?<개정 2013. 3. 23.>
도로교통법 제43조 - 누구든지?제80조에 따라 지방경찰청장으로부터 운전면허를 받지 아니하거나 운전면허의 효력이 정지된 경우에는 자동차등을 운전하여서는 아니 된다.
도로교통법 제96조 - ① 외국의 권한 있는 기관에서 다음 각 호의 어느 하나에 해당하는 협약, 협정 또는 약정에 따른 운전면허증(이하 ""국제운전면허증""이라 한다)을 발급받은 사람은?제80조제1항에도 불구하고 국내에 입국한 날부터 1년 동안만 그 국제운전면허증으로 자동차등을 운전할 수 있다. 이 경우 운전할 수 있는 자동차의 종류는 그 국제운전면허증에 기재된 것으로 한정한다. ?<개정 2017. 10. 24.>
1. 1949년 제네바에서 체결된 「도로교통에 관한 협약」
2. 1968년 비엔나에서 체결된 「도로교통에 관한 협약」
3. 우리나라와 외국 간에 국제운전면허를 상호 인정하는 협약, 협정 또는 약정② 국제운전면허증을 외국에서 발급받은 사람은?「여객자동차 운수사업법」?또는?「화물자동차 운수사업법」에 따른 사업용 자동차를 운전할 수 없다. 다만,?「여객자동차 운수사업법」에 따른 대여사업용 자동차를 임차(賃借)하여 운전하는 경우에는 그러하지 아니하다.③?제82조제2항에 따른 운전면허 결격사유에 해당하는 사람으로서 같은 항 각 호의 구분에 따른 기간이 지나지 아니한 사람은 제1항에도 불구하고 자동차등을 운전하여서는 아니 된다."
보도침범,"도로교통법 제13조 - ① 차마의 운전자는 보도와 차도가 구분된 도로에서는 차도로 통행하여야 한다. 다만, 도로 외의 곳으로 출입할 때에는 보도를 횡단하여 통행할 수 있다.② 제1항 단서의 경우 차마의 운전자는 보도를 횡단하기 직전에 일시정지하여 좌측과 우측 부분 등을 살핀 후 보행자의 통행을 방해하지 아니하도록 횡단하여야 한다.
도로교통법 제5조 - ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. ?<개정 2015. 7. 24., 2018. 3. 27.>
1. 교통정리를 하는 국가경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 ""자치경찰공무원""이라 한다)
2. 국가경찰공무원 및 자치경찰공무원(이하 ""경찰공무원""이라 한다)을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 ""경찰보조자""라 한다)② 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 제1항에 따른 교통안전시설이 표시하는 신호 또는 지시와 교통정리를 하는 국가경찰공무원·자치경찰공무원 또는 경찰보조자(이하 ""경찰공무원등""이라 한다)의 신호 또는 지시가 서로 다른 경우에는 경찰공무원등의 신호 또는 지시에 따라야 한다. ?<개정 2018. 3. 27.>"
승객추락방지의무 위반,"도로교통법 제39조 - ③ 모든 차 또는 노면전차의 운전자는 운전 중 타고 있는 사람 또는 타고 내리는 사람이 떨어지지 아니하도록 하기 위하여 문을 정확히 여닫는 등 필요한 조치를 하여야 한다. ?<개정 2014. 12. 30., 2018. 3. 27.>"
신호위반 및 지시위반 ,"도로교통법 제 5조 - (신호 또는 지시에 따를 의무) ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다.
도로교통법 제 62조 - 제62조(횡단 등의 금지) 자동차의 운전자는 그 차를 운전하여 고속도로등을 횡단하거나 유턴 또는 후진하여서는 아니 된다. 다만, 긴급자동차 또는 도로의 보수ㆍ유지 등의 작업을 하는 자동차 가운데 고속도로등에서의 위험을 방지ㆍ제거하거나 교통사고에 대한 응급조치작업을 위한 자동차로서 그 목적을 위하여 반드시 필요한 경우에는 그러하지 아니하다."
앞지르기 규정 위반,"교통사고 특례법 3조 - ① 차의 운전자가 교통사고로 인하여 「형법」 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.② 차의 교통으로 제1항의 죄 중 업무상과실치상죄(業務上過失致傷罪) 또는 중과실치상죄(重過失致傷罪)와 「도로교통법」 제151조의 죄를 범한 운전자에 대하여는 피해자의 명시적인 의사에 반하여 공소(公訴)를 제기할 수 없다. 다만, 차의 운전자가 제1항의 죄 중 업무상과실치상죄 또는 중과실치상죄를 범하고도 피해자를 구호(救護)하는 등 「도로교통법」 제54조제1항에 따른 조치를 하지 아니하고 도주하거나 피해자를 사고 장소로부터 옮겨 유기(遺棄)하고 도주한 경우, 같은 죄를 범하고 「도로교통법」 제44조제2항을 위반하여 음주측정 요구에 따르지 아니한 경우(운전자가 채혈 측정을 요청하거나 동의한 경우는 제외한다)와 다음 각 호의 어느 하나에 해당하는 행위로 인하여 같은 죄를 범한 경우에는 그러하지 아니하다. ?<개정 2016. 1. 27., 2016. 12. 2.>1. 「도로교통법」 제5조에 따른 신호기가 표시하는 신호 또는 교통정리를 하는 경찰공무원등의 신호를 위반하거나 통행금지 또는 일시정지를 내용으로 하는 안전표지가 표시하는 지시를 위반하여 운전한 경우2. 「도로교통법」 제13조제3항을 위반하여 중앙선을 침범하거나 같은 법 제62조를 위반하여 횡단, 유턴 또는 후진한 경우3. 「도로교통법」 제17조제1항 또는 제2항에 따른 제한속도를 시속 20킬로미터 초과하여 운전한 경우4. 「도로교통법」 제21조제1항, 제22조, 제23조에 따른 앞지르기의 방법·금지시기·금지장소 또는 끼어들기의 금지를 위반하거나 같은 법 제60조제2항에 따른 고속도로에서의 앞지르기 방법을 위반하여 운전한 경우5. 「도로교통법」 제24조에 따른 철길건널목 통과방법을 위반하여 운전한 경우6. 「도로교통법」 제27조제1항에 따른 횡단보도에서의 보행자 보호의무를 위반하여 운전한 경우7. 「도로교통법」 제43조, 「건설기계관리법」 제26조 또는 「도로교통법」 제96조를 위반하여 운전면허 또는 건설기계조종사면허를 받지 아니하거나 국제운전면허증을 소지하지 아니하고 운전한 경우. 이 경우 운전면허 또는 건설기계조종사면허의 효력이 정지 중이거나 운전의 금지 중인 때에는 운전면허 또는 건설기계조종사면허를 받지 아니하거나 국제운전면허증을 소지하지 아니한 것으로 본다.8. 「도로교통법」 제44조제1항을 위반하여 술에 취한 상태에서 운전을 하거나 같은 법 제45조를 위반하여 약물의 영향으로 정상적으로 운전하지 못할 우려가 있는 상태에서 운전한 경우9. 「도로교통법」 제13조제1항을 위반하여 보도(步道)가 설치된 도로의 보도를 침범하거나 같은 법 제13조제2항에 따른 보도 횡단방법을 위반하여 운전한 경우10. 「도로교통법」 제39조제3항에 따른 승객의 추락 방지의무를 위반하여 운전한 경우11. 「도로교통법」 제12조제3항에 따른 어린이 보호구역에서 같은 조 제1항에 따른 조치를 준수하고 어린이의 안전에 유의하면서 운전하여야 할 의무를 위반하여 어린이의 신체를 상해(傷害)에 이르게 한 경우12. 「도로교통법」 제39조제4항을 위반하여 자동차의 화물이 떨어지지 아니하도록 필요한 조치를 하지 아니하고 운전한 경우"
어린이 보호구역 안전운전의무 위반,"도로교통법 제12조 - ① 시장등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요하다고 인정하는 경우에는 다음 각 호의 어느 하나에 해당하는 시설의 주변도로 가운데 일정 구간을 어린이 보호구역으로 지정하여 자동차등의 통행속도를 시속 30킬로미터 이내로 제한할 수 있다. ?<개정 2013. 3. 23., 2014. 1. 28., 2014. 11. 19., 2015. 7. 24., 2017. 7. 26.>
1. 「유아교육법」 제2조에 따른 유치원, 「초ㆍ중등교육법」 제38조 및 제55조에 따른 초등학교 또는 특수학교
2. 「영유아보육법」 제10조에 따른 어린이집 가운데 행정안전부령으로 정하는 어린이집
3. 「학원의 설립ㆍ운영 및 과외교습에 관한 법률」 제2조에 따른 학원 가운데 행정안전부령으로 정하는 학원
4. 「초ㆍ중등교육법」 제60조의2 또는 제60조의3에 따른 외국인학교 또는 대안학교, 「제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법」 제223조에 따른 국제학교 및 「경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법」 제2조제2호에 따른 외국교육기관 중 유치원ㆍ초등학교 교과과정이 있는 학교③ 차마의 운전자는 어린이 보호구역에서 제1항에 따른 조치를 준수하고 어린이의 안전에 유의하면서 운행하여야 한다."
음주운전,"도로교통법 제107조 - ②경찰청장은 제1항에 따른 연수교육을 수료한 사람에게?행정안전부령으로 정하는 바에 따라 기능검정원 자격증을 발급하여야 한다. ?<개정 2013. 3. 23., 2014. 11. 19., 2017. 7. 26.>
도로교통법 제148조의2 - ① 다음 각 호의 어느 하나에 해당하는 사람은 1년 이상 3년 이하의 징역이나 500만원 이상 1천만원 이하의 벌금에 처한다. ?<개정 2018. 3. 27.>
1. 제44조제1항을 2회 이상 위반한 사람(자동차등 또는 노면전차를 운전한 사람으로 한정한다)으로서 다시 같은 조 제1항을 위반하여 술에 취한 상태에서 자동차등 또는 노면전차를 운전한 사람
2. 술에 취한 상태에 있다고 인정할 만한 상당한 이유가 있는 사람으로서 제44조제2항에 따른 경찰공무원의 측정에 응하지 아니한 사람(자동차등 또는 노면전차를 운전한 사람으로 한정한다)② 제44조제1항을 위반하여 술에 취한 상태에서 자동차등 또는 노면전차를 운전한 사람은 다음 각 호의 구분에 따라 처벌한다. ?<개정 2018. 3. 27.>
1. 혈중알콜농도가 0.2퍼센트 이상인 사람은 1년 이상 3년 이하의 징역이나 500만원 이상 1천만원 이하의 벌금
2. 혈중알콜농도가 0.1퍼센트 이상 0.2퍼센트 미만인 사람은 6개월 이상 1년 이하의 징역이나 300만원 이상 500만원 이하의 벌금
3. 혈중알콜농도가 0.05퍼센트 이상 0.1퍼센트 미만인 사람은 6개월 이하의 징역이나 300만원 이하의 벌금③ 제45조를 위반하여 약물로 인하여 정상적으로 운전하지 못할 우려가 있는 상태에서 자동차등 또는 노면전차를 운전한 사람은 3년 이하의 징역이나 1천만원 이하의 벌금에 처한다. ?<개정 2018. 3. 27.>
도로교통법 제41조 - ① 경찰공무원은 정비불량차에 해당한다고 인정하는 차가 운행되고 있는 경우에는 우선 그 차를 정지시킨 후, 운전자에게 그 차의 자동차등록증 또는 자동차 운전면허증을 제시하도록 요구하고 그 차의 장치를 점검할 수 있다.② 경찰공무원은 제1항에 따라 점검한 결과 정비불량 사항이 발견된 경우에는 그 정비불량 상태의 정도에 따라 그 차의 운전자로 하여금 응급조치를 하게 한 후에 운전을 하도록 하거나 도로 또는 교통 상황을 고려하여 통행구간, 통행로와 위험방지를 위한 필요한 조건을 정한 후 그에 따라 운전을 계속하게 할 수 있다.③ 지방경찰청장은 제2항에도 불구하고 정비 상태가 매우 불량하여 위험발생의 우려가 있는 경우에는 그 차의 자동차등록증을 보관하고 운전의 일시정지를 명할 수 있다. 이 경우 필요하면 10일의 범위에서 정비기간을 정하여 그 차의 사용을 정지시킬 수 있다.④ 제1항부터 제3항까지의 규정에 따른 장치의 점검 및 사용의 정지에 필요한 사항은?대통령령으로 정한다.
도로교통법 제44조 - ① 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다.이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다. ?<개정 2018. 3. 27.>② 경찰공무원은 교통의 안전과 위험방지를 위하여 필요하다고 인정하거나 제1항을 위반하여 술에 취한 상태에서 자동차등, 노면전차 또는 자전거를 운전하였다고 인정할 만한 상당한 이유가 있는 경우에는 운전자가 술에 취하였는지를 호흡조사로 측정할 수 있다. 이 경우 운전자는 경찰공무원의 측정에 응하여야 한다. ?<개정 2014. 12. 30., 2018. 3. 27.>③ 제2항에 따른 측정 결과에 불복하는 운전자에 대하여는 그 운전자의 동의를 받아 혈액 채취 등의 방법으로 다시 측정할 수 있다.④ 제1항에 따라 운전이 금지되는 술에 취한 상태의 기준은 운전자의 혈중알코올농도가 0.05퍼센트 이상인 경우로 한다."
중앙선 침범,"도로교통법 제 13조 3항 - 차마의 운전자는 도로(보도와 차도가 구분된 도로에서는 차도를 말한다)의 중앙(중앙선이 설치되어 있는 경우에는 그 중앙선을 말한다. 이하 같다) 우측 부분을 통행하여야 한다.
도로교통법 제 62조 - 제62조(횡단 등의 금지) 자동차의 운전자는 그 차를 운전하여 고속도로등을 횡단하거나 유턴 또는 후진하여서는 아니 된다. 다만, 긴급자동차 또는 도로의 보수ㆍ유지 등의 작업을 하는 자동차 가운데 고속도로등에서의 위험을 방지ㆍ제거하거나 교통사고에 대한 응급조치작업을 위한 자동차로서 그 목적을 위하여 반드시 필요한 경우에는 그러하지 아니하다."
철길건널목 통과방법 위반,"도로교통법 24조 - ① 모든 차 또는 노면전차의 운전자는 철길 건널목(이하 ""건널목""이라 한다)을 통과하려는 경우에는 건널목 앞에서 일시정지하여 안전한지 확인한 후에 통과하여야 한다. 다만, 신호기 등이 표시하는 신호에 따르는 경우에는 정지하지 아니하고 통과할 수 있다. ?<개정 2018. 3. 27.>② 모든 차 또는 노면전차의 운전자는 건널목의 차단기가 내려져 있거나 내려지려고 하는 경우 또는 건널목의 경보기가 울리고 있는 동안에는 그 건널목으로 들어가서는 아니 된다. ?<개정 2018. 3. 27.>③ 모든 차 또는 노면전차의 운전자는 건널목을 통과하다가 고장 등의 사유로 건널목 안에서 차 또는 노면전차를 운행할 수 없게 된 경우에는 즉시 승객을 대피시키고 비상신호기 등을 사용하거나 그 밖의 방법으로 철도공무원이나 경찰공무원에게 그 사실을 알려야 한다. ?<개정 2018. 3. 27.>"
화물고정조치 위반,도로교통법 제39조 - ④ 모든 차의 운전자는 운전 중 실은 화물이 떨어지지 아니하도록 덮개를 씌우거나 묶는 등 확실하게 고정될 수 있도록 필요한 조치를 하여야 한다. ?<개정 2014. 12. 30.>
횡단보도 보행자 보호의무 위반,도로교통법 27조 - ① 모든 차 또는 노면전차의 운전자는 보행자(제13조의2제6항에 따라 자전거에서 내려서 자전거를 끌고 통행하는 자전거 운전자를 포함한다)가 횡단보도를 통행하고 있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞(정지선이 설치되어 있는 곳에서는 그 정지선을 말한다)에서 일시정지하여야 한다. ?<개정 2018. 3. 27.>② 모든 차 또는 노면전차의 운전자는 교통정리를 하고 있는 교차로에서 좌회전이나 우회전을 하려는 경우에는 신호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 보행자의 통행을 방해하여서는 아니 된다. ?<개정 2018. 3. 27.>③ 모든 차의 운전자는 교통정리를 하고 있지 아니하는 교차로 또는 그 부근의 도로를 횡단하는 보행자의 통행을 방해하여서는 아니 된다.④ 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는 경우와 차로가 설치되지 아니한 좁은 도로에서 보행자의 옆을 지나는 경우에는 안전한 거리를 두고 서행하여야 한다.⑤ 모든 차 또는 노면전차의 운전자는 보행자가 제10조제3항에 따라 횡단보도가 설치되어 있지 아니한 도로를 횡단하고 있을 때에는 안전거리를 두고 일시정지하여 보행자가 안전하게 횡단할 수 있도록 하여야 한다. ?<개정 2018. 3. 27.>
